!Per commentare iniziare la riga con !

!Origine del percorso
origin: 1

!Destinazione del percorso
destination: 13

!Dati relativi ai nodi della rete
!             XCOORD YCOORD
DATINODI: [
(1)	[25	35]
(2)	[77	22]
(3)	[93	80]
(4)	[167	25]
(5)	[43	166]
(6)	[187	115]
(7)	[160	132]
(8)	[155	97]
(9)	[63	55]
(10)	[33	87]
(11)	[70	121]
(12)	[33	140]
(13)	[193	157]
(14)	[100	175]
(15)	[110	132]
(16)	[125	32]
(17)	[143	164]
(18)	[167	63]
(19)	[193	37]
(20)	[133	89]
]

!Elenco degli archi della rete: (nodo_iniziale nodo_finale) lunghezza dell'arco
LUNG: [
(1	2)	27
(2	1)	27
(1	9)	43
(9	1)	43
(1	10)	53
(10	1)	53
(2	9)	36
(9	2)	36
(2	3)	60
(3	2)	60
!(2	16)	49
(16	2)	49
(3	9)	39
(9	3)	39
(3	10)	60
(10	3)	60
(3	11)	47
(3	20)	43
(11	3)	47
(3	15)	55
(15	3)	55
(3	16)	58
(16	3)	58
(4	16)	43
(16	4)	43
(4	18)	38
(18	4)	38
(4	19)	29
(19	4)	29
(5	12)	28
(12	5)	28
(5	11)	52
(11	5)	52
(5	14)	58
(14	5)	58
(6	7)	32
(7	6)	32
(6	8)	37
(8	6)	37
(6	13)	42
(13	6)	42
(6	18)	56
(18	6)	56
(7	17)	36
(17	7)	36
(7	13)	41
(13	7)	41
(7	8)	35
(8	7)	35
(7	15)	50
(15	7)	50
(8	20)	23
(20	8)	23
(8	18)	36
(18	8)	36
(9	10)	44
(10	9)	44
(10	11)	50
(11	10)	50
(10	12)	53
(12	10)	53
(11	12)	42
(12	11)	42
(11	15)	41
(15	11)	41
(12	14)	76
(14	12)	76
(13	17)	50
(17	13)	50
(13	15)	87
(15	13)	87
(14	17)	44
(17	14)	44
(14	15)	48
(15	14)	48
(15	17)	46
(17	15)	46
(15	20)	49
(20	15)	49
(16	18)	52
(18	16)	52
(16	20)	58
(20	16)	58
(16	19)	68
(19	16)	68
(17	20)	76
(20	17)	76
(18	20)	43
(20	18)	43
(18	19)	37
(19	18)	37
]
